county_name,year,acres
BAKER,2012,43
BAKER,2007,61
BAKER,2002,51
UMATILLA,2012,92
UMATILLA,2007,93
UMATILLA,2002,67
UNION,2012,57
UNION,2007,69
UNION,2002,59
WALLOWA,2012,30
WALLOWA,2007,32
WALLOWA,2002,22
COOS,2012,61
COOS,2007,87
COOS,2002,68
CURRY,2012,16
CURRY,2007,11
CURRY,2002,17
DOUGLAS,2012,188
DOUGLAS,2007,191
DOUGLAS,2002,168
JACKSON,2012,198
JACKSON,2007,223
JACKSON,2002,177
JOSEPHINE,2012,90
JOSEPHINE,2007,87
JOSEPHINE,2002,76
CROOK,2012,35
CROOK,2007,49
CROOK,2002,34
DESCHUTES,2012,95
DESCHUTES,2007,119
DESCHUTES,2002,125
GRANT,2012,25
GRANT,2007,30
GRANT,2002,27
HARNEY,2012,34
HARNEY,2007,39
HARNEY,2002,37
JEFFERSON,2012,31
JEFFERSON,2007,33
JEFFERSON,2002,18
KLAMATH,2012,68
KLAMATH,2007,69
KLAMATH,2002,66
LAKE,2012,26
LAKE,2007,20
LAKE,2002,27
MALHEUR,2012,63
MALHEUR,2007,69
MALHEUR,2002,47
WHEELER,2012,2
WHEELER,2007,10
WHEELER,2002,11
BENTON,2012,379
BENTON,2007,415
BENTON,2002,397
BENTON,1997,385
CLACKAMAS,2012,1903
CLACKAMAS,2007,2007
CLACKAMAS,2002,2264
CLACKAMAS,1997,2197
CLATSOP,2012,76
CLATSOP,2007,83
CLATSOP,2002,81
CLATSOP,1997,98
COLUMBIA,2012,373
COLUMBIA,2007,364
COLUMBIA,2002,411
COLUMBIA,1997,364
LANE,2012,1304
LANE,2007,1417
LANE,2002,1142
LANE,1997,1180
LINCOLN,2012,136
LINCOLN,2007,116
LINCOLN,2002,125
LINCOLN,1997,122
LINN,2012,847
LINN,2007,871
LINN,2002,856
LINN,1997,851
MARION,2012,1069
MARION,2007,1150
MARION,2002,1375
MARION,1997,1274
MULTNOMAH,2012,328
MULTNOMAH,2007,284
MULTNOMAH,2002,378
MULTNOMAH,1997,330
POLK,2012,541
POLK,2007,574
POLK,2002,587
POLK,1997,638
TILLAMOOK,2012,76
TILLAMOOK,2007,74
TILLAMOOK,2002,51
TILLAMOOK,1997,64
WASHINGTON,2012,852
WASHINGTON,2007,970
WASHINGTON,2002,1099
WASHINGTON,1997,1089
YAMHILL,2012,1002
