county_name,year,Acres
UMATILLA,2002,238767.0
UMATILLA,1997,264766.0
UNION,2012,44594.0
UNION,2007,61858.0
UNION,2002,52461.0
UNION,1997,64686.0
WALLOWA,2012,23379.0
WALLOWA,2007,26340.0
WALLOWA,2002,31842.0
WALLOWA,1997,29824.0
COOS,2012,6675.0
COOS,2007,4697.0
COOS,2002,5361.0
COOS,1997,5707.0
CURRY,2007,913.0
CURRY,1997,738.0
DOUGLAS,2012,19173.0
DOUGLAS,2007,19182.0
DOUGLAS,2002,15820.0
DOUGLAS,1997,19338.0
JACKSON,2012,9757.0
JACKSON,2007,13282.0
JACKSON,2002,15568.0
JACKSON,1997,15377.0
JOSEPHINE,2012,1687.0
JOSEPHINE,2007,2346.0
JOSEPHINE,2002,2550.0
JOSEPHINE,1997,3438.0
CROOK,2012,12892.0
CROOK,2007,14387.0
CROOK,2002,18062.0
CROOK,1997,19348.0
DESCHUTES,2012,8541.0
DESCHUTES,2007,6406.0
DESCHUTES,2002,7805.0
DESCHUTES,1997,9770.0
GRANT,2012,14707.0
GRANT,2007,16487.0
GRANT,2002,15877.0
GRANT,1997,19874.0
HARNEY,2012,61025.0
HARNEY,2007,55169.0
HARNEY,2002,49579.0
HARNEY,1997,47795.0
JEFFERSON,2012,27493.0
JEFFERSON,2007,27352.0
JEFFERSON,2002,32063.0
JEFFERSON,1997,32060.0
KLAMATH,2012,78374.0
KLAMATH,2007,59818.0
KLAMATH,2002,63734.0
KLAMATH,1997,74091.0
LAKE,2012,47741.0
LAKE,2007,37921.0
LAKE,2002,56061.0
LAKE,1997,59670.0
MALHEUR,2012,79689.0
MALHEUR,2007,91737.0
MALHEUR,2002,102925.0
MALHEUR,1997,112791.0
WHEELER,2007,4898.0
WHEELER,2002,6334.0
WHEELER,1997,6647.0
BENTON,2012,7519.0
BENTON,2007,9440.0
BENTON,2002,6850.0
BENTON,1997,11407.0
CLACKAMAS,2012,5962.0
CLACKAMAS,2007,5757.0
CLACKAMAS,2002,8276.0
CLACKAMAS,1997,9502.0
CLATSOP,1997,270.0
COLUMBIA,2012,499.0
COLUMBIA,2007,288.0
COLUMBIA,2002,252.0
COLUMBIA,1997,700.0
LANE,2012,7077.0
LANE,2007,9269.0
LANE,2002,11202.0
LANE,1997,16848.0
LINCOLN,2002,223.0
LINCOLN,1997,89.0
LINN,2012,21502.0
LINN,2007,29507.0
LINN,2002,36641.0
LINN,1997,54539.0
MARION,2012,36553.0
MARION,2007,35657.0
MARION,2002,24100.0
MARION,1997,40869.0
MULTNOMAH,2012,2307.0
MULTNOMAH,2007,518.0
MULTNOMAH,2002,712.0
MULTNOMAH,1997,1324.0
POLK,2012,15601.0
POLK,2007,10779.0
POLK,2002,15112.0
POLK,1997,18775.0
TILLAMOOK,2012,736.0
TILLAMOOK,2007,511.0
TILLAMOOK,2002,377.0
TILLAMOOK,1997,621.0
WASHINGTON,2012,11499.0
WASHINGTON,2007,11993.0
WASHINGTON,2002,12227.0
WASHINGTON,1997,16252.0
YAMHILL,2012,15292.0
YAMHILL,2007,10376.0
YAMHILL,2002,9287.0
YAMHILL,1997,9842.0
GILLIAM,2012,17841.0
GILLIAM,2007,24350.0
GILLIAM,2002,24913.0
GILLIAM,1997,25522.0
HOOD RIVER,2012,1328.0
HOOD RIVER,2007,1204.0
HOOD RIVER,2002,1854.0
HOOD RIVER,1997,2202.0
MORROW,2012,91946.0
MORROW,2007,75004.0
MORROW,2002,70580.0
MORROW,1997,112053.0
SHERMAN,2012,27999.0
SHERMAN,2007,37850.0
SHERMAN,2002,38199.0
SHERMAN,1997,30979.0
WASCO,2012,14111.0
WASCO,2007,13325.0
WASCO,2002,15347.0
WASCO,1997,12062.0
BAKER,2012,7499.0
BAKER,2007,1594.0
BAKER,2002,5180.0
BAKER,1997,9141.0
UMATILLA,2012,120671.0
UMATILLA,2007,103810.0
UMATILLA,2002,87386.0
UMATILLA,1997,96992.0
UNION,2012,13573.0
UNION,2007,7918.0
UNION,2002,12390.0
UNION,1997,11459.0
WALLOWA,2012,15923.0
WALLOWA,2007,7248.0
WALLOWA,2002,5665.0
WALLOWA,1997,12126.0
COOS,2012,753.0
COOS,2007,1470.0
COOS,2002,1255.0
COOS,1997,1323.0
CURRY,2007,422.0
CURRY,1997,475.0
DOUGLAS,2012,1083.0
DOUGLAS,2007,1794.0
DOUGLAS,2002,1979.0
DOUGLAS,1997,3570.0
JACKSON,2012,1426.0
JACKSON,2007,1864.0
